,predicted_solubility
0,-0.7385103009831202
1,-1.9230202461831016
2,-0.6578639376106878
3,-3.7509660365024473
4,-2.721022322602175
5,-3.4133989865282763
6,-3.8698481915525056
7,-2.3178060898483066
8,-2.3192150723469913
9,-2.7725671383061057
10,-2.068594049494733
11,-2.889623259581994
12,-1.235135123821122
13,-1.5479984626701988
14,-2.6868278527618936
15,-2.5257499219269706
16,-3.627183435759475
17,-2.8118472317518735
18,-1.8449681915766138
19,-3.0973988573719056
20,-3.790771689951203
21,-2.287295859630172
22,-2.856770891797251
23,-3.429331170623474
24,-1.742431994105552
25,-4.672644758098443
26,-1.742577640780548
27,-2.038632669120621
28,-3.6173807179096524
29,-3.335970480023323
30,-2.5040927424604456
31,-3.70511452266772
32,-4.3468382383733735
33,-3.6157726468415934
34,-2.1880375402898444
35,-2.8513949157916283
36,-1.3431325592532053
37,-2.9793859892998693
38,-2.5613025172396746
39,-2.4791818064865323
40,-2.7623572325474886
41,-2.847323486103278
42,-2.8633882004085285
43,-3.872665485301673
44,-3.799786958250343
45,-3.013301807840313
46,-1.8240922610389307
47,-3.588803672632157
48,-0.6092903137115457
49,-3.132212981110831
50,-2.6509188165384328
51,-2.3015822439377076
52,-2.669496939673517
